Date,Trip,Site,Survey,Block,Treatment,Side,Placement,Amphipods,Coleoptera,Orthoptera,Hemiptera,Dermaptera,Arachnid,Diptera,Hymenoptera,Spiribolida,Collembola,Unknown_arthropod,Homoptera,Polydesmida,Gastropoda,Neuroptera,Mammal,Isopoda,Lepidoptera,Empicoris,Odonata,Total,No._per_trap,Mean_count,Count_SE,Amphipod_mean,Amphipod_SE,Diptera_means,Diptera_SE,Hymenoptera_means,Hymenoptera_SE
8/1/22,1,Dune,Aerial  ,1,Control,1,Lo,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,23.4,6.817379751,0.9,0.480679344,10.35,2.122901441,1.05,0.413425994
8/1/22,1,Dune,Aerial  ,1,Control,2,Lo,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,na,,,,,,,,
8/1/22,1,Dune,Aerial  ,1,Control,1,Hi,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,12,,,,,,,,
8/1/22,1,Dune,Aerial  ,1,Control,2,Hi,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,na,,,,,,,,
8/1/22,1,Dune,Aerial  ,2,Control,1,Lo,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,,,,,,,,
8/1/22,1,Dune,Aerial  ,2,Control,2,Lo,1,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,10,na,,,,,,,,
8/1/22,1,Dune,Aerial  ,2,Control,1,Hi,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,,,,,,,,
8/1/22,1,Dune,Aerial  ,2,Control,2,Hi,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,na,,,,,,,,
8/1/22,1,Dune,Aerial  ,3,Control,1,Lo,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,14,31,,,,,,,,
8/1/22,1,Dune,Aerial  ,3,Control,2,Lo,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,17,na,,,,,,,,
8/1/22,1,Dune,Aerial  ,3,Control,1,Hi,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,26,30,,,,,,,,
8/1/22,1,Dune,Aerial  ,3,Control,2,Hi,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,na,,,,,,,,
8/1/22,1,Dune,Aerial  ,4,Control,1,Lo,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,,,,,,,,
8/1/22,1,Dune,Aerial  ,4,Control,2,Lo,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,na,,,,,,,,
8/1/22,1,Dune,Aerial  ,4,Control,1,Hi,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,,,,,,,,
8/1/22,1,Dune,Aerial  ,4,Control,2,Hi,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,na,,,,,,,,
8/1/22,1,Dune,Aerial  ,5,Control,1,Lo,2,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,,,,,,,,
8/1/22,1,Dune,Aerial  ,5,Control,2,Lo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,,,,,,,,
8/1/22,1,Dune,Aerial  ,5,Control,1,Hi,9,0,0,0,0,0,42,4,0,0,0,0,0,0,0,0,0,0,0,0,55,83,,,,,,,,
8/1/22,1,Dune,Aerial  ,5,Control,2,Hi,4,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,28,na,,,,,,,,
11/9/22,2,Dune,Aerial  ,1,Control,1,Lo,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,43,73,85.6,18.56352457,0,0,48.95,8.077087477,0.05,0.05
11/9/22,2,Dune,Aerial  ,1,Control,2,Lo,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,na,,,,,,,,
11/9/22,2,Dune,Aerial  ,1,Control,1,Hi,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,92,121,,,,,,,,
11/9/22,2,Dune,Aerial  ,1,Control,2,Hi,0,1,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,29,na,,,,,,,,
11/9/22,2,Dune,Aerial  ,2,Control,1,Lo,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,54,,,,,,,,
11/9/22,2,Dune,Aerial  ,2,Control,2,Lo,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,36,na,,,,,,,,
11/9/22,2,Dune,Aerial  ,2,Control,1,Hi,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,128,168,,,,,,,,
11/9/22,2,Dune,Aerial  ,2,Control,2,Hi,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,na,,,,,,,,
11/9/22,2,Dune,Aerial  ,3,Control,1,Lo,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,,,,,,,,
11/9/22,2,Dune,Aerial  ,3,Control,2,Lo,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,23,na,,,,,,,,
11/9/22,2,Dune,Aerial  ,3,Control,1,Hi,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,64,94,,,,,,,,
11/9/22,2,Dune,Aerial  ,3,Control,2,Hi,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,na,,,,,,,,
11/9/22,2,Dune,Aerial  ,4,Control,1,Lo,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,37,56,,,,,,,,
11/9/22,2,Dune,Aerial  ,4,Control,2,Lo,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,na,,,,,,,,
11/9/22,2,Dune,Aerial  ,4,Control,1,Hi,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,128,,,,,,,,
11/9/22,2,Dune,Aerial  ,4,Control,2,Hi,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,68,na,,,,,,,,
11/9/22,2,Dune,Aerial  ,5,Control,1,Lo,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,43,,,,,,,,
11/9/22,2,Dune,Aerial  ,5,Control,2,Lo,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,na,,,,,,,,
